customer_id,monthly_revenue,tenure_months,login_frequency,payment_delay_days,support_tickets,usage_score,discount_used,churn_risk
C001,1200,24,28,0,1,92,0,0
C002,850,18,20,3,2,78,1,0
C003,450,6,8,15,5,42,1,1
C004,1500,36,30,0,0,96,0,0
C005,300,4,5,22,6,30,1,1
C006,950,20,22,2,1,81,0,0
C007,600,10,12,9,3,60,1,0
C008,1800,42,32,0,1,98,0,0
C009,400,7,6,18,4,38,1,1
C010,1100,28,25,1,1,88,0,0
C011,520,9,10,12,4,50,1,1
C012,1350,30,27,0,0,94,0,0
C013,700,14,15,6,2,67,1,0
C014,250,3,4,25,7,25,1,1
C015,1000,22,24,2,1,85,0,0
C016,480,8,7,16,5,40,1,1
C017,1600,38,31,0,0,97,0,0
C018,750,16,17,5,2,70,0,0
C019,350,5,5,20,6,32,1,1
C020,1250,26,26,1,1,90,0,0
