customer_id,monthly_revenue,tenure_months,login_frequency,payment_delay_days,support_tickets,usage_score,discount_used,churn_risk
C0001,1060,23,25,21,6,99,0,0
C0002,1494,15,33,11,0,60,0,0
C0003,1330,33,38,23,0,70,1,0
C0004,1295,25,8,14,8,90,0,0
C0005,1838,17,11,7,4,97,0,0
C0006,2369,33,22,5,4,48,1,0
C0007,666,47,24,27,2,38,1,0
C0008,1438,55,17,26,4,85,1,0
C0009,530,2,12,9,2,60,0,0
C0010,1682,14,32,2,8,64,0,0
C0011,2335,53,15,18,8,34,0,1
C0012,330,40,16,30,5,22,0,1
C0013,1885,40,22,16,0,30,0,0
C0014,969,51,28,6,6,72,0,0
C0015,2591,39,20,20,6,65,1,0
C0016,1715,51,33,19,9,49,0,0
C0017,2633,6,10,25,9,76,1,0
C0018,1415,6,40,30,3,37,1,0
C0019,1155,3,32,3,7,70,0,0
C0020,2524,7,33,13,5,67,1,0
C0021,1384,51,2,19,3,85,0,0
C0022,659,8,33,21,3,27,0,0
C0023,221,42,33,14,1,41,1,0
C0024,2500,52,13,23,1,25,0,0
C0025,947,15,30,7,3,95,1,0
C0026,674,47,33,20,4,76,0,0
C0027,1282,29,13,14,7,55,0,0
C0028,2758,33,26,21,5,98,0,0
C0029,2247,52,22,19,3,76,0,0
C0030,2947,30,39,27,10,68,0,0
C0031,1175,39,2,13,6,64,0,0
C0032,2006,27,38,26,7,85,1,0
C0033,389,36,39,28,1,96,1,0
C0034,2934,29,26,8,6,64,0,0
C0035,762,38,15,7,1,98,1,0
C0036,2099,57,34,25,1,39,1,0
C0037,1467,33,40,27,7,83,1,0
C0038,1728,37,11,25,1,86,0,0
C0039,846,27,3,16,10,22,0,1
C0040,2268,55,6,30,8,73,1,1
C0041,2414,33,9,1,0,97,0,0
C0042,1497,4,6,24,8,83,1,0
C0043,2635,22,9,23,0,59,0,0
C0044,800,2,39,29,9,78,0,0
C0045,2563,10,31,2,9,74,0,0
C0046,2261,5,32,7,1,81,0,0
C0047,441,59,12,11,5,23,0,0
C0048,2241,10,8,0,5,79,1,0
C0049,2812,33,8,9,0,94,0,0
C0050,1563,54,28,19,6,49,1,0
C0051,2339,38,20,2,7,21,1,0
C0052,1590,13,7,5,1,81,0,0
C0053,1678,31,11,6,7,68,1,0
C0054,2756,47,20,19,8,28,1,0
C0055,975,36,16,22,5,50,1,0
C0056,234,45,4,24,4,80,1,0
C0057,2453,24,6,26,8,98,1,0
C0058,2155,52,22,17,10,67,0,0
C0059,1785,56,26,10,8,44,0,0
C0060,1221,15,3,18,0,55,1,0
C0061,2813,29,14,4,10,27,0,0
C0062,1329,8,11,18,2,92,0,0
C0063,1700,5,18,10,8,77,0,0
C0064,902,29,12,23,10,64,1,0
C0065,2649,47,23,11,1,81,0,0
C0066,2977,4,12,9,3,58,1,0
C0067,1779,12,13,7,3,77,0,0
C0068,361,45,25,23,1,100,0,0
C0069,401,2,19,27,2,83,0,0
C0070,2181,27,36,27,2,63,0,0
C0071,1195,31,8,8,0,48,1,0
C0072,2517,51,29,3,5,78,1,0
C0073,1015,51,32,4,7,90,1,0
C0074,655,36,18,20,2,28,0,0
C0075,1475,36,6,7,4,25,0,0
C0076,1216,26,18,22,0,48,1,0
C0077,2543,43,19,8,9,77,1,0
C0078,2967,27,22,14,6,36,0,0
C0079,537,5,37,14,9,35,0,0
C0080,1078,20,32,15,0,22,0,0
C0081,1276,11,3,13,10,40,1,0
C0082,991,10,28,7,8,83,0,0
C0083,2464,40,10,17,7,55,0,0
C0084,963,38,35,9,6,81,0,0
C0085,2435,6,29,27,9,61,1,0
C0086,579,8,15,19,6,95,0,0
C0087,692,23,33,5,4,61,0,0
C0088,1380,47,7,11,4,80,0,0
C0089,2262,26,12,1,10,32,0,0
C0090,264,46,30,6,4,30,0,0
C0091,2768,43,21,15,0,73,1,0
C0092,1567,12,31,2,7,35,1,0
C0093,1352,26,24,12,10,27,1,0
C0094,2227,13,20,2,0,78,1,0
C0095,2895,40,37,26,3,76,0,0
C0096,1695,18,4,17,8,59,1,0
C0097,1362,25,28,10,8,78,0,0
C0098,1722,33,20,7,4,21,1,0
C0099,2840,47,24,5,3,95,1,0
C0100,591,40,32,0,2,29,0,0
C0101,1898,60,36,27,2,63,0,0
C0102,618,43,34,0,4,30,0,0
C0103,2536,12,36,22,9,98,0,0
C0104,578,44,2,7,0,99,0,0
C0105,1996,36,15,4,4,100,1,0
C0106,2478,48,34,27,5,21,1,0
C0107,2288,4,36,15,6,69,0,0
C0108,2382,5,6,10,8,31,0,0
C0109,400,56,39,4,2,42,0,0
C0110,2063,37,12,3,1,37,1,0
C0111,979,8,3,29,2,81,0,0
C0112,702,42,18,5,8,81,0,0
C0113,2654,49,40,13,6,57,0,0
C0114,1951,28,21,21,8,86,0,0
C0115,1004,31,15,18,1,57,0,0
C0116,2346,58,33,8,4,86,1,0
C0117,2931,9,35,11,3,80,0,0
C0118,2095,54,26,10,1,20,1,0
C0119,2973,51,8,13,8,64,0,0
C0120,1770,29,36,22,8,47,1,0
C0121,1160,14,30,15,5,40,1,0
C0122,2860,40,23,0,10,32,0,0
C0123,1685,41,14,30,5,46,0,0
C0124,2890,22,14,12,7,26,0,0
C0125,1228,11,2,22,5,41,1,0
C0126,702,23,37,20,0,93,0,0
C0127,597,1,5,20,3,72,1,0
C0128,1070,46,38,29,6,98,0,0
C0129,592,37,14,12,1,98,1,0
C0130,406,21,39,1,8,23,1,0
C0131,1238,26,25,3,7,42,1,0
C0132,2081,46,20,27,7,89,0,0
C0133,1684,36,2,5,6,95,0,0
C0134,1063,54,39,25,3,52,1,0
C0135,2990,23,6,30,1,47,0,0
C0136,763,57,17,26,2,27,0,0
C0137,1220,1,25,22,5,20,0,1
C0138,295,54,28,26,4,56,0,0
C0139,2123,55,2,4,7,82,0,0
C0140,1957,51,35,24,5,41,0,0
C0141,2732,40,37,2,5,89,0,0
C0142,2478,15,5,0,0,40,1,0
C0143,2996,21,1,3,3,54,1,0
C0144,1878,47,40,24,4,98,1,0
C0145,740,9,12,19,10,24,1,1
C0146,1259,53,36,1,2,79,0,0
C0147,2772,9,23,25,8,65,0,0
C0148,1383,10,31,29,0,69,0,0
C0149,1922,52,11,29,5,67,0,0
C0150,2019,57,10,4,5,25,1,0
C0151,2825,53,3,2,9,75,0,0
C0152,2929,26,14,28,4,78,0,0
C0153,2804,41,16,27,4,48,0,0
C0154,1797,35,10,28,9,90,0,0
C0155,2893,52,29,8,4,96,1,0
C0156,995,25,10,19,5,37,0,0
